issue,unit_spoid,unit_name,unit_type,unit_status,related_spoid,related_name,related_type,related_status
parent does not list unit as child,SBC63431," Aarupadai Veedu Institute of Technology,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC14891," Bhilai Institute of Technology-Durg,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC64801,"A.D. Patel Institute of Technology,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBC64801A,"A.D. Patel Institute of Technology,IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC64801D,"A.D. Patel Institute of Technology,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC64801B,"A.D. Patel Institute of Technology,PEL35",Student Branch Chapter,Active,PEL035,IEEE Power Electronics Society,Society,Active
parent does not list unit as child,SBC64801E,"A.D. Patel Institute of Technology,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBA64801S,"A.D. Patel Institute of Technology,SIGHT",Affinity,Active,C-SIGHTSC,IEEE SIGHT Steering Committee,Committee,Active
parent does not list unit as child,SBA64801,"A.D. Patel Institute of Technology,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,STB02661,Aachen Univ of Tech - RWTH,Student Branch,Active,R80017,Germany Section,Section,Active
parent does not list unit as child,SBC026611,"Aachen Univ of Tech - RWTH, PEL35/IA34/PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC21481,"Aalborg University, PEL35/IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC21481,"Aalborg University, PEL35/IA34",Student Branch Chapter,Active,PEL035,IEEE Power Electronics Society,Society,Active
parent does not list unit as child,SBC21481B,"Aalborg University,PEL35/IA34/PE31",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC21481B,"Aalborg University,PEL35/IA34/PE31",Student Branch Chapter,Active,PEL035,IEEE Power Electronics Society,Society,Active
parent does not list unit as child,SBC21481B,"Aalborg University,PEL35/IA34/PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC6343B,"Aarupadai Veedu Inst of Tech,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,SBC6343A,"Aarupadai Veedu Institute of Technology,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC6343C,"Aarupadai Veedu Institute of Technology,EMB18",Student Branch Chapter,Active,EMB018,IEEE Engineering Medicine and Biology Society,Society,Active
parent does not list unit as child,SBA63431,"Aarupadai Veedu Institute of Technology,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC643611,"Abdelmalek Essaadi University,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,STB60105303,Abdul Wali Khan University,Student Branch,Active,R00091,Islamabad Section,Section,Active
parent does not list unit as child,SBA04661,"ABES Engineering College, WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBC04661B,"ABES Engineering College,AP03",Student Branch Chapter,Active,AP003,IEEE Antennas and Propagation Society,Society,Active
parent does not list unit as child,SBC046611,"ABES Engineering College,MTT17",Student Branch Chapter,Active,MTT017,IEEE Microwave Theory and Technology Society,Society,Active
parent does not list unit as child,SBC04661A,"ABES Engineering College,PE31",Student Branch Chapter,Active,PE031,IEEE Power & Energy Society,Society,Active
parent does not list unit as child,STB05871A,ABES Institute of Technology,Student Branch,Active,R00171,Uttar Pradesh Section,Section,Active
parent does not list unit as child,STB41385739,Abubakar Tafawa Balewa University,Student Branch,Active,R80139,Nigeria Section,Section,Active
parent does not list unit as child,SBC41385739,"Abubakar Tafawa Balewa University,IA34",Student Branch Chapter,Active,IA034,IEEE Industry Applications Society,Society,Active
parent does not list unit as child,SBC41385739A,"Abubakar Tafawa Balewa University,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBA41385739,"Abubakar Tafawa Balewa University,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBA41385739,"Abubakar Tafawa Balewa University,WIE",Affinity,Active,CMC4000,IEEE Women In Engineering,Committee,Active
parent does not list unit as child,SCH13681,Academy of Technology,Academic,Active,R00137,Kolkata Section,Section,Active
parent does not list unit as child,SBC13681,"Academy of Technology,C16",Student Branch Chapter,Active,C016,IEEE Computer Society,Society,Active
parent does not list unit as child,SBA04301,"Acropolis Inst of Tech and Research,WIE",Affinity,Active,WIE050,IEEE Women in Engineering,Society,Active
parent does not list unit as child,SBA04301S,Acropolis Institute of Tech and Research SB SIGHT,Affinity,Active,C-SIGHTSC,IEEE SIGHT Steering Committee,Committee,Active
parent does not list unit as child,SBC043011C,"Acropolis Institute of Tech and Research,AP03",Student Branch Chapter,Active,AP003,IEEE Antennas and Propagation Society,Society,Active
parent does not list unit as child,SBC043011A,"Acropolis Institute of Tech and Research,CIS11",Student Branch Chapter,Active,CIS011,IEEE Computational Intelligence Society,Society,Active
parent does not list unit as child,SBC043011F,"Acropolis Institute of Tech and Research,COM19",Student Branch Chapter,Active,COM019,IEEE Communications Society,Society,Active
parent does not list unit as child,SBC043011B,"Acropolis Institute of Tech and Research,ED15",Student Branch Chapter,Active,ED015,IEEE Electron Devices Society,Society,Active
parent does not list unit as child,SBC043011D,"Acropolis Institute of Tech and Research,RA24",Student Branch Chapter,Active,RA024,IEEE Robotics and Automation Society,Society,Active
parent does not list unit as child,SBC043011E,"Acropolis Institute of Tech and Research,TEM14",Student Branch Chapter,Active,TEM014,IEEE Technology and Engineering Management Society,Society,Active
