spoid,name,type
SBC63431," Aarupadai Veedu Institute of Technology,C16",Student Branch Chapter
SBC14891," Bhilai Institute of Technology-Durg,C16",Student Branch Chapter
SBC0161E," Rensselaer Poly Institute,CS23",Student Branch Chapter
SCH41451621,A F Ioffe Physico Technical Institute,Academic
A13182,A T Still Univ,Academic
SCH61041,A. C. Patil College of Engineering,Academic
STB61041,A. C. Patil College of Engineering,Student Branch
STB64801,A.D. Patel Institute of Technology,Student Branch
SCH64801,A.D. Patel Institute of Technology,Academic
SBC64801,"A.D. Patel Institute of Technology,C16",Student Branch Chapter
SBC64801A,"A.D. Patel Institute of Technology,IA34",Student Branch Chapter
SBC64801C,"A.D. Patel Institute of Technology,NPS05",Student Branch Chapter
SBC64801D,"A.D. Patel Institute of Technology,PE31",Student Branch Chapter
SBC64801B,"A.D. Patel Institute of Technology,PEL35",Student Branch Chapter
SBC64801E,"A.D. Patel Institute of Technology,RA24",Student Branch Chapter
SBA64801S,"A.D. Patel Institute of Technology,SIGHT",Affinity
SBA64801,"A.D. Patel Institute of Technology,WIE",Affinity
A19587,Aachen Technical College Of,Academic
STB02661,Aachen Univ of Tech - RWTH,Student Branch
SBC026611,"Aachen Univ of Tech - RWTH, PEL35/IA34/PE31",Student Branch Chapter
SCH2540173,Aalborg Engineering College,Academic
STB21481,Aalborg University,Student Branch
SCH21481,Aalborg University,Academic
SBC21481,"Aalborg University, PEL35/IA34",Student Branch Chapter
SBC21481B,"Aalborg University,PEL35/IA34/PE31",Student Branch Chapter
SCH41538503,"Aalto Univ, School of Economics",Academic
SCH06481,Aalto University,Academic
STB06481,Aalto University,Student Branch
SCH2520233,Aarhus University,Academic
SBC6343B,"Aarupadai Veedu Inst of Tech,PE31",Student Branch Chapter
SCH63431,Aarupadai Veedu Institute of Technology,Academic
STB63431,Aarupadai Veedu Institute of Technology,Student Branch
SBC6343A,"Aarupadai Veedu Institute of Technology,COM19",Student Branch Chapter
SBC6343C,"Aarupadai Veedu Institute of Technology,EMB18",Student Branch Chapter
SBA63431,"Aarupadai Veedu Institute of Technology,WIE",Affinity
SCH14811,Abasyn University,Academic
STB01008,Abasyn University-Islamabad Campus,Student Branch
SCH01008,Abasyn University-Islamabad Campus,Academic
1-82KUCE6,Abbottabad Univ of Sci & Techn (AUST),Academic
SCH60178364,Abdelhamid Ibn Badis University of Mostaganem,Academic
STB64361,Abdelmalek Essaadi University,Student Branch
SCH64361,Abdelmalek Essaadi University,Academic
SBC643611,"Abdelmalek Essaadi University,C16",Student Branch Chapter
1-V9X1YU,Abdul Rahman EL FALOU,Individual
SCH60105303,Abdul Wali Khan University,Academic
STB60105303,Abdul Wali Khan University,Student Branch
SCH60234676,Abdullah Al Salem University,Academic
STB60234676,Abdullah Al Salem University,Student Branch
SCH04661,ABES Engineering College,Academic
STB04661,ABES Engineering College,Student Branch
SBA04661,"ABES Engineering College, WIE",Affinity
SBC04661B,"ABES Engineering College,AP03",Student Branch Chapter
SBC046611,"ABES Engineering College,MTT17",Student Branch Chapter
SBC04661A,"ABES Engineering College,PE31",Student Branch Chapter
SCH05871,ABES Institute of Technology,Academic
STB05871A,ABES Institute of Technology,Student Branch
SCH2523143,Abilene Christian Univ,Academic
STB2523143,Abilene Christian Univ,Student Branch
SCH2512244,Abo Akademi University,Academic
A16197,Abraham Baldwin Agricultural College,Academic
SCH60099015,Abu Dhabi Polytechnic,Academic
STB60099015,Abu Dhabi Polytechnic,Student Branch
STB11701,Abu Dhabi University,Student Branch
SCH11701,Abu Dhabi University,Academic
SCH2518633,Abubakar Tafawa Balewa university,Academic
SCH41385739,Abubakar Tafawa Balewa University,Academic
STB41385739,Abubakar Tafawa Balewa University,Student Branch
SBC41385739,"Abubakar Tafawa Balewa University,IA34",Student Branch Chapter
SBC41385739A,"Abubakar Tafawa Balewa University,RA24",Student Branch Chapter
SBA41385739,"Abubakar Tafawa Balewa University,WIE",Affinity
STB16241,Academic City University College,Student Branch
SCH16241,Academic City University College,Academic
SCH40162855,Academic College of Tel Aviv Yaffo,Academic
A29299,Academie Bulgare Des Sciences,Academic
SCH40081277,Academy Of Airspace Instrument,Academic
1-23GML4S,Academy of Art University,Academic
SCH2517443,Academy Of Engineering And Architecture,Academic
SCH45892180,Academy of Graduate Studies,Academic
